name:en,addr:street,addr:housenumber,category,geometry
TavriaV,,,Mall / Supermarket,POINT (30.7767101 46.5749486)
,,,Office / Business Center,POINT (30.749034600000005 46.47226129999999)
,,,Mall / Supermarket,POINT (30.7144556 46.38684299999999)
Tavria V,Ванный переулок,1а,Mall / Supermarket,POINT (30.758304199999994 46.41337909999999)
,проспект Князя Володимира Великого,120А,Office / Business Center,POINT (30.799078900000005 46.5889989)
Kopeyka,,,Mall / Supermarket,POINT (30.737554100000004 46.467231899999994)
Moy Dom,,,Mall / Supermarket,POINT (30.792739400000002 46.588710999999996)
,,,Entertainment,POINT (30.723992999999997 46.5148071)
,,,Market,POINT (30.789365099999998 46.5798619)
From Irma,,,Market,POINT (30.723586000000005 46.49811379999999)
,,,Market,POINT (30.723305200000002 46.4975839)
Odesa Concert Hall,,,Entertainment,POINT (30.7612041 46.4328189)
,,,Market,POINT (30.7652108 46.5749626)
,,,Tourism / Beach,POINT (30.738701799999994 46.4889062)
,Миколаївська дорога,253/1,Office / Business Center,POINT (30.747081899999998 46.5444802)
Passport Service,Європейська вулиця,27/1,Office / Business Center,POINT (30.739385899999995 46.4818521)
Kopeyka,,,Mall / Supermarket,POINT (30.687397200000003 46.4804853)
,Велика Арнаутська вулиця,61,Office / Business Center,POINT (30.7380681 46.47259929999999)
,бульвар Михайла Жванецького,,Tourism / Beach,POINT (30.728851000000002 46.4937152)
,,,Tourism / Beach,POINT (30.7270056 46.4800668)
,,,Office / Business Center,POINT (30.7442616 46.4743297)
,проспект Князя Володимира Великого,83,Mall / Supermarket,POINT (30.782135800000002 46.57735189999999)
,Миколаївська дорога,142,Office / Business Center,POINT (30.7410825 46.537614)
,,,Mall / Supermarket,POINT (30.731758500000005 46.436718299999995)
“Alpha Navigation Ukraine”,,,Office / Business Center,POINT (30.7494672 46.4452343)
,,,Tourism / Beach,POINT (30.734047200000003 46.4870566)
,,,Office / Business Center,POINT (30.7262646 46.49090879999999)
LLC AGENT SB,,,Office / Business Center,POINT (30.7299474 46.4532461)
,,,Mall / Supermarket,POINT (30.749787099999992 46.4623794)
,,,Office / Business Center,POINT (30.7504149 46.4628612)
,Французский бульвар,85,Tourism / Beach,POINT (30.7673324 46.443333599999995)
Ahrarna partiya Ukrainy,,,Office / Business Center,POINT (30.725288499999998 46.4891059)
Vertical,вулиця Семена Палія,127в,Sport Facility,POINT (30.802401300000003 46.58372909999999)
Dva shaha,вулиця Семена Палія,127в,Mall / Supermarket,POINT (30.8023331 46.5835935)
,,,Mall / Supermarket,POINT (30.672808299999996 46.4791749)
,,,Mall / Supermarket,POINT (30.715490500000005 46.3905689)
,,,Office / Business Center,POINT (30.7287097 46.5291699)
